horizon_hours,candidate_rank,model_name,decision_threshold,period_type,period,rows,actual_spikes,predicted_spikes,accuracy,precision,recall,f1,pr_auc
12,2,hist_gradient_boosting_classifier,0.55,quarter,2024Q4,2184,118,135,0.9171245421245421,0.26666666666666666,0.3050847457627119,0.2845849802371542,0.15640921066040453
24,1,gradient_boosting_classifier_tuned,0.6,overall,overall,8760,598,702,0.906392694063927,0.3418803418803419,0.4013377926421405,0.36923076923076925,0.29903234400273704
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-01,744,153,216,0.7674731182795699,0.4537037037037037,0.6405228758169934,0.5311653116531165,0.4571786230967406
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-02,696,72,99,0.8232758620689655,0.24242424242424243,0.3333333333333333,0.2807017543859649,0.2290001468465883
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-03,744,39,54,0.9153225806451613,0.2777777777777778,0.38461538461538464,0.3225806451612903,0.23326049610155902
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-04,720,48,53,0.8736111111111111,0.09433962264150944,0.10416666666666667,0.09900990099009901,0.10189805335425793
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-05,744,16,3,0.9744623655913979,0.0,0.0,0.0,0.048246030647583954
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-06,720,11,0,0.9847222222222223,0.0,0.0,0.0,0.048266914860948786
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-07,744,92,126,0.8790322580645161,0.5079365079365079,0.6956521739130435,0.5871559633027523,0.5863266647496208
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-08,744,16,1,0.9771505376344086,0.0,0.0,0.0,0.027550033716542455
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-09,720,33,30,0.9402777777777778,0.3333333333333333,0.30303030303030304,0.31746031746031744,0.3031487115975538
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-10,744,48,39,0.885752688172043,0.02564102564102564,0.020833333333333332,0.022988505747126436,0.06518849263313953
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-11,720,67,80,0.8597222222222223,0.2875,0.34328358208955223,0.3129251700680272,0.2844278417359179
24,1,gradient_boosting_classifier_tuned,0.6,month,2024-12,720,3,1,0.9944444444444445,0.0,0.0,0.0,0.012767822894405173
24,1,gradient_boosting_classifier_tuned,0.6,quarter,2024Q1,2184,264,369,0.8356227106227107,0.3712737127371274,0.5189393939393939,0.43285939968404424,0.35174591658816884
24,1,gradient_boosting_classifier_tuned,0.6,quarter,2024Q2,2184,75,56,0.9445970695970696,0.08928571428571429,0.06666666666666667,0.07633587786259542,0.08303722645301048
24,1,gradient_boosting_classifier_tuned,0.6,quarter,2024Q3,2208,141,157,0.9320652173913043,0.4713375796178344,0.524822695035461,0.4966442953020134,0.46080188688074475
24,1,gradient_boosting_classifier_tuned,0.6,quarter,2024Q4,2184,118,120,0.913003663003663,0.2,0.2033898305084746,0.20168067226890757,0.14615637877949453
24,2,extra_trees_classifier_tuned,0.5,overall,overall,8760,598,945,0.8877853881278539,0.2962962962962963,0.4682274247491639,0.36292935839274143,0.29770191506215643
24,2,extra_trees_classifier_tuned,0.5,month,2024-01,744,153,268,0.7432795698924731,0.4291044776119403,0.7516339869281046,0.5463182897862233,0.4758106104415959
24,2,extra_trees_classifier_tuned,0.5,month,2024-02,696,72,129,0.7916666666666666,0.21705426356589147,0.3888888888888889,0.27860696517412936,0.2753274137354269
24,2,extra_trees_classifier_tuned,0.5,month,2024-03,744,39,69,0.8924731182795699,0.2028985507246377,0.358974358974359,0.25925925925925924,0.2715648695874952
24,2,extra_trees_classifier_tuned,0.5,month,2024-04,720,48,74,0.8527777777777777,0.10810810810810811,0.16666666666666666,0.13114754098360656,0.11782629273559674
24,2,extra_trees_classifier_tuned,0.5,month,2024-05,744,16,9,0.9663978494623656,0.0,0.0,0.0,0.040984148524083594
24,2,extra_trees_classifier_tuned,0.5,month,2024-06,720,11,10,0.9708333333333333,0.0,0.0,0.0,0.03824125143007066
24,2,extra_trees_classifier_tuned,0.5,month,2024-07,744,92,148,0.8629032258064516,0.46621621621621623,0.75,0.575,0.5862660392246629
24,2,extra_trees_classifier_tuned,0.5,month,2024-08,744,16,11,0.9637096774193549,0.0,0.0,0.0,0.029277566244354535
24,2,extra_trees_classifier_tuned,0.5,month,2024-09,720,33,50,0.9291666666666667,0.32,0.48484848484848486,0.3855421686746988,0.3347982187579043
24,2,extra_trees_classifier_tuned,0.5,month,2024-10,744,48,64,0.8548387096774194,0.03125,0.041666666666666664,0.03571428571428571,0.05384262743684183
24,2,extra_trees_classifier_tuned,0.5,month,2024-11,720,67,109,0.8333333333333334,0.25688073394495414,0.417910447761194,0.3181818181818182,0.22373817318263245
24,2,extra_trees_classifier_tuned,0.5,month,2024-12,720,3,4,0.9902777777777778,0.0,0.0,0.0,0.01934585981191958
24,2,extra_trees_classifier_tuned,0.5,quarter,2024Q1,2184,264,466,0.8095238095238095,0.3369098712446352,0.5946969696969697,0.4301369863013699,0.3788635772839258
24,2,extra_trees_classifier_tuned,0.5,quarter,2024Q2,2184,75,93,0.9304029304029304,0.08602150537634409,0.10666666666666667,0.09523809523809523,0.08673314650241265
24,2,extra_trees_classifier_tuned,0.5,quarter,2024Q3,2208,141,209,0.9184782608695652,0.40669856459330145,0.6028368794326241,0.4857142857142857,0.4583064373313978
24,2,extra_trees_classifier_tuned,0.5,quarter,2024Q4,2184,118,177,0.8923992673992674,0.1694915254237288,0.2542372881355932,0.2033898305084746,0.11700358616663617
